FRASE,FONTE,AKTIONSART ,GRADE,PAPEL,FUNCAO,NUMERO_PESSOA,REFERENCIA
Brown não lhe orientou - WM,Entrevista 1: Xexeu e Patricia Gomes,ND,BI,T,OD,2P,DEF
O povo queria lhe ver rebolando - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,2P,DEF
Ele vai lhe (organismo) enganando - XX,Entrevista 1: Xexeu e Patricia Gomes,ND,BI,T,OD,3P,INDEF
Isso foi lhe consumindo - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,2P,DEF
A Timbalada ela lhe tentou - WM,Entrevista 1: Xexeu e Patricia Gomes,ND,BI,T,OD,2P,SREF
Lhe resguardar - WM,Entrevista 1: Xexeu e Patricia Gomes,ND,BI,B,OD,2P,DEF
Teve algum artista que lhe procurou,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,2P,DEF
para lhe ajudar,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,2P,DEF
para lhe dar um apoio neste momento difícil? - WM,Entrevista 1: Xexeu e Patricia Gomes,D,TRI,B,OI,2P,DEF
Alguém lhe apadrinhou? - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,B,OD,2P,DEF
Como é que essa turma lhe abraçou? - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,B,OD,2P,DEF
Eu só lhe encontrava em Petrolina - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,2P,DEF
E lhe agradecer - WM,Entrevista 1: Xexeu e Patricia Gomes,ND,TRI,A,OI,2P,DEF
Nunca mais eu lhe machucasse - WM,Entrevista 1: Xexeu e Patricia Gomes,D,BI,T,OD,3P,DEF
Foi ele que lhe ensinou a dar o nó? - WM,Entrevista 1: Xexeu e Patricia Gomes,ND,TRI,B,OI,2P,DEF
que eu fico lhe apertando - WM,Entrevista 2: Fábio Almeida,D,BI,T,OD,2P,DEF
naquele momento eu vou lhe dizer que eu arrumei a vida - FA,Entrevista 2: Fábio Almeida,D,TRI,A,OI,2P,DEF
