"FONTE","AKTIONSART","GRADE","PAPEL","FUNCAO","NUMERO_PESSOA","REFERENCIA","FREQ"
"Bargunça Podcast - Casemiro Neto","D","TRI","A","OI","2P","DEF",4
"Bargunça Podcast - Casemiro Neto","D","BI","T","OD","2P","DEF",1
"Bargunça Podcast - Casemiro Neto","ND","BI","T","OD","2P","DEF",1
"Bargunça Podcast - Casemiro Neto","ND","TRI","A","OI","2P","DEF",1
"Bargunça Podcast - Casemiro Neto","ND","TRI","B","OI","3P","INDEF",1
"Bargunça Podcast - Paulo Carneiro (Ex-presidente do Vitória) | PÓS JOGO - JUVENTUDE x VITÓRIA","D","TRI","A","OI","2P","DEF",17
"Bargunça Podcast - Paulo Carneiro (Ex-presidente do Vitória) | PÓS JOGO - JUVENTUDE x VITÓRIA","D","TRI","B","OI","2P","DEF",2
"Bargunça Podcast - Paulo Carneiro (Ex-presidente do Vitória) | PÓS JOGO - JUVENTUDE x VITÓRIA","D","BI","T","OD","3P","INDEF",1
"Bargunça Podcast - Paulo Carneiro (Ex-presidente do Vitória) | PÓS JOGO - JUVENTUDE x VITÓRIA","D","TRI","T","OI","2P","DEF",1
"Bargunça Podcast - Thiago Aquino","D","TRI","B","OI","2P","DEF",6
"Bargunça Podcast - Thiago Aquino","D","BI","T","OD","2P","DEF",1
"Bargunça Podcast - Thiago Aquino","D","TRI","A","OI","2P","DEF",1
"Bargunça Podcast - Thiago Aquino","ND","BI","B","OI","2P","DEF",1
"Bargunça Podcast - Thiago Aquino","ND","TRI","A","OI","2P","DEF",1
"Bargunça Podcast - Thiago Aquino","ND","TRI","B","OI","2P","DEF",1
"Entrevista - Asas Livres","D","TRI","A","OI","2P","DEF",4
"Entrevista - Asas Livres","D","TRI","B","OI","2P","DEF",2
"Entrevista - Igor Kanário","D","TRI","A","OI","2P","DEF",4
"Entrevista - Igor Kanário","D","BI","T","OD","2P","DEF",3
"Entrevista - Igor Kanário","D","BI","A","OD","2P","DEF",1
"Entrevista - Igor Kanário","D","BI","B","OD","2P","DEF",1
"Entrevista - Ninha e Dinho Júnior","D","TRI","A","OI","2P","DEF",4
"Entrevista - Ninha e Dinho Júnior","D","BI","T","OD","2P","DEF",2
"Entrevista - Ninha e Dinho Júnior","D","TRI","B","OI","2P","DEF",2
"Entrevista - Ninha e Dinho Júnior","D","BI","A","OI","2P","DEF",1
"Entrevista - Ninha e Dinho Júnior","D","TRI","T","OI","2P","DEF",1
"Entrevista - Pierre Onassis","D","TRI","A","OI","2P","DEF",3
"Entrevista - Silvano Salles","D","BI","T","OD","2P","DEF",5
"Entrevista - Silvano Salles","D","TRI","T","OD","2P","DEF",2
"Entrevista - Silvano Salles","D","TRI","A","OI","2P","DEF",1
"Entrevista - Silvano Salles","D","TRI","B","OI","2P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","D","BI","T","OD","2P","DEF",5
"Entrevista 1: Xexeu e Patricia Gomes","D","BI","B","OD","2P","DEF",2
"Entrevista 1: Xexeu e Patricia Gomes","D","BI","T","OD","3P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","D","TRI","B","OI","2P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","BI","B","OD","2P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","BI","T","OD","2P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","BI","T","OD","2P","SREF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","BI","T","OD","3P","INDEF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","TRI","A","OI","2P","DEF",1
"Entrevista 1: Xexeu e Patricia Gomes","ND","TRI","B","OI","2P","DEF",1
"Entrevista 2: Fábio Almeida","ND","BI","T","OD","2P","DEF",5
"Entrevista 2: Fábio Almeida","D","TRI","A","OI","2P","DEF",4
"Entrevista 2: Fábio Almeida","D","TRI","B","OI","2P","DEF",3
"Entrevista 2: Fábio Almeida","D","BI","T","OD","2P","DEF",2
"Entrevista 2: Fábio Almeida","ND","TRI","A","OI","2P","DEF",2
"Entrevista 2: Fábio Almeida","ND","TRI","B","OI","2P","DEF",2
"Entrevista 2: Fábio Almeida","ND","BI","A","OD","2P","DEF",1
"Entrevista 3: Alexandre Peixe","D","BI","T","OD","2P","DEF",3
"Entrevista 3: Alexandre Peixe","D","TRI","A","OI","2P","DEF",2
"Entrevista 3: Alexandre Peixe","D","TRI","B","OI","2P","DEF",1
"Entrevista 3: Alexandre Peixe","D","TRI","T","OD","2P","DEF",1
"Entrevista 3: Alexandre Peixe","ND","BI","T","OD","2P","DEF",1
